Name	Set	Card	Type	Level	Logo	Rarity	Text	PT-BR
Drizzt Do'Urden	1st-Ed	045	Hero	8	FR	C	When defending, Drizzt must be defeated twice in one battle before he is discarded. Elf. 	Ao defender, Drizzt deve ser derrotado duas vezes em uma batalha antes que ele e descartado. Duende.
Midnight, Goddess of Magic	1st-Ed	046	Wizard	7	FR	R	If only one Midnight is in play, wizards cannot cast spells without her permission. She also destroys all magical items held by the opposing champion. 	Se apenas um meia-noite esta em jogo, os magos nao podem lançar feitiços sem sua permissao. Ela tambem destroi todos os itens magicos detidos pelo campeao adversaria.
Torg Mac Cei, the Ironlord	1st-Ed	047	Hero	6	FR	UC	Torg's level is doubled when defending or attacking the Great Rift. Dwarf. 	nivel de Torg e dobrado quando defendendo ou atacando o Great Rift. Anao.
Pereghost, The	1st-Ed	048	Monster	7	FR	R	All the pereghost's allies gain 2 levels. 	Todos os aliados do pereghost ganhar 2 niveis.
Bruenor Battlehammer	1st-Ed	049	Hero	5	FR	R	Bruenor gains 2 levels when fighting a monster. Dwarf. 	Bruenor ganha 2 niveis ao lutar um monstro. Anao.
Marco Volo	1st-Ed	050	Hero	3	FR	UC	At the start of the player's turn, he can look at the top card of any draw pile and discard it if he wants. 	No inicio do turno do jogador, ele pode olhar para o card do topo de qualquer baralho e descarta-lo se ele quiser.
Harpers, The	1st-Ed	051	Hero	6	FR	C	The Harpers can cast wizard and cleric spells, but the player must choose one type (wizard or cleric) in each battle when this card is used. 	Os Harpers pode lançar mago e feitiços de clerigo, mas o jogador deve escolher um tipo (mago ou clerigo) em cada batalha quando este cartao e usado.
Gnomes of Samek	1st-Ed	052	Hero	4	FR	UC	Gnome. 	Gnomo.
Adventurers!	1st-Ed	053	Hero	3	FR	C	Can use cleric and wizard spells. 	Pode usar magias de clerigo e magias mago.
War Party	1st-Ed	054	Ally	4	AD&D2	C	Orc 	Orc
Crime Lord	1st-Ed	055	Hero	7	FR	UC	The Crime Lord can also be played as an event to destroy one holding. The destroyed holding and the Crime Lord are discarded. Harmful. 	O Senhor Crime tambem pode ser jogado como um evento para destruir uma exploraçao. A realizaçao destruida eo Senhor Crime sao descartados. Prejudicial.
Adventurers	1st-Ed	056	Hero	4	FR	C	All allies of these adventurers gain 1 level. 	Todos os aliados destes aventureiros ganhar 1 nivel.
Jotunslayers, The	1st-Ed	057	Hero	4	FR	C	The Jotunslayers are level 8 if the opposing champion is a monster. Dwarf. 	Os Jotunslayers sao nivel 8, se o campeao oposta e um monstro. Anao.
Armies of Bloodstone	1st-Ed	058	Ally	4	AD&D2	UC		
Iron Legion, The	1st-Ed	059	Ally	3	AD&D2	C		
Tergoz Tenhammer	1st-Ed	060	Hero	5	GH	C		
Myrmidons	1st-Ed	061	Ally	4	AD&D2	R	When the myrmidons are discarded, the player shuffles all discards back into the draw deck. 	Quando os myrmidons sao descartados, o jogador embaralha todas as devoluçoes de volta para o deck de empate.
Magister, The	1st-Ed	062	Wizard	4	FR	R		
Karlott the Shaman	1st-Ed	063	Cleric	4	FR	UC		
King Halvor II	1st-Ed	064	Hero	5	FR	UC		
Pteranadon	1st-Ed	065	Ally	2	AD&D2	C	The Pteranadon gains 3 levels when defending Chult. 	O Pteranodon ganha 3 niveis ao defender Chult.
Gorgosaurus	1st-Ed	066	Ally	4	AD&D2	R	The Gorgosaurus gains 3 levels when defending Chult. 	O Gorgosaurus ganha 3 niveis ao defender Chult.
Greater Feyr	1st-Ed	067	Monster	5	FR	R	The first enemy ally played against the feyr in each battle is discarded immediately. 	O primeiro inimigo aliado jogado contra o feyr em cada batalha e descartado imediatamente.
Cleric of Gond	1st-Ed	068	Cleric	4	FR	R		
Cleric of Torm	1st-Ed	069	Cleric	5	FR	R		
Cleric of Mask	1st-Ed	070	Cleric	4	FR	R	This card and attached magical items and artifact are kept face down, and revealed only in battle. 	Este cartao e itens mƒgicos ligados e artefato sao mantidos rosto para baixo, e revelado somente na batalha.
Drow Matron	1st-Ed	071	Wizard	5	FR	UC	The drow matron gains 3 levels when defending Menzoberranzan. Elf. 	A matrona drow ganha 3 niveis ao defender Menzoberranzan. Duende.
Dracolich	1st-Ed	072	Monster	6	FR	R	Can use wizard spells. Undead. Flyer. 	Pode usar magias mago. Morto-vivo. Voador.
Vasos Flameslayer	1st-Ed	073	Hero	5	FR	R	Vasos gains 3 levels when fighting monsters. Dwarf. 	Vasos ganha 3 niveis quando lutando contra monstros. Anao.
Allisa of the Mists	1st-Ed	074	Hero	5	FR	C	Allisa gains 3 levels when fighting monsters. 	Allisa ganha 3 niveis quando lutando contra monstros.
Grypht the Saurial	1st-Ed	075	Wizard	4	FR	UC		
Worden Ironfist	1st-Ed	076	Hero	5	FR	R	Worden gains 3 levels when fighting monsters. Dwarf. 	Worden ganha 3 niveis quando lutando contra monstros. Anao.
Amarill	1st-Ed	077	Cleric	3	FR	UC	If Amarill is defeated, the player can pull one other champion from his discards and return it to his hand. 	Se Amarill e derrotado, o jogador pode puxar um outro campeao de seu descarte e retorna-lo a sua mao.
Joliet the Rash	1st-Ed	078	Hero	4	FR	C	Once in play, must attack on the player's turn, every turn, or be discarded. 	Uma vez no jogo, deve atacar em vez do jogador, cada vez, ou ser descartado.
Dwarf of Earthfast	1st-Ed	079	Hero	2	FR	C	Gains 4 levels if the opposing champion is a monster. Dwarf. 	Ganhos de 4 niveis de se defender o oposto e um monstro. Anao.
Black Courser	1st-Ed	080	Monster	4	FR	R	The Black Courser's level is 8 when fighting dragons or undead. 	nivel de The Black Courser e 8, quando lutar contra dragoes ou mortos-vivos.
Hornhead Saurial	1st-Ed	081	Ally	3	AD&D2	C		
Dagrande	1st-Ed	082	Hero	4	FR	UC	Dwarf. 	Anao.
Mind Flayer	1st-Ed	083	Ally	3	AD&D	R	When played, the mind flayer can immediately shift one opposing ally to its own side for that round of battle. The ally loses 1 level. 	Quando jogado, o flayer da mente pode imediatamente mudar uma oposiçao aliado para seu proprio lado para essa rodada de batalha. O aliado perde 1 nivel.
Noble Djinni	1st-Ed	084	Ally	4	AD&D2	R	The opponent cannot play flyers this round and all opposing flyers already in the battle are discarded. 	O adversario nao pode jogar Voadors nesta rodada e todos os Voadors opostas Ja na batalha sao descartados.
Hubadai	1st-Ed	085	Hero	4	FR	R	Flyer. 	Voador.
Intellect Devourer	1st-Ed	086	Ally	1	AD&D2	UC	Immediately destroys an opposing champion of level 5 or less. Count only magical item and artifact bonuses when determining level. 	destroi imediatamente um campeao oposta do nivel de 5 ou menos. Contar apenas magicas itens e artefatos ba´nus ao determinar nivel.
Shandrill	1st-Ed	087	Hero	3	FR	C	Immune to offensive spells. 	Imune a magias ofensivas.
Triceratops	1st-Ed	088	Ally	3	AD&D2	R	Triceratops gains 6 levels when defending Chult. 	Triceratops ganhos 6 niveis ao defender Chult.
Cleric of Malar	1st-Ed	089	Cleric	4	FR	C	This cleric gains 2 levels when attacking realms from outside the Forgotten Realms. 	Este clerigo ganha 2 niveis quando atacando reinos de fora dos Reinos Esquecidos.
Airship	1st-Ed	090	Event		AD&D	UC	Destroys any two allies, chosen by this card's player. Harmful. 	Destroi quaisquer dois aliados, escolhidos pelo jogador deste cartao. Prejudicial.
Bad Omens	1st-Ed	091	Event		AD&D2	C	All allies and champions lose one level until the player's next turn. Harmful. 	Todos os aliados e campeoes perder um nivel ate o proximo turno do jogador. Prejudicial.
Fortunate Omens	1st-Ed	092	Event		AD&D2	C	All allies gain 3 levels until the player's next turn. Helpful. 	Todos os aliados ganham 3 niveis ate o proximo turno do jogador. Ajuda.
Rod of Shapechange	1st-Ed	093	Artifact		FR	UC	Select any champion from the discard pile and use it in battle in place of this champion. After winning the battle, this champion and artifact return to the pool; the substitute is discarded. 	Selecione qualquer campeao da pilha de descarte e usa-lo em batalha no lugar dessa campeao. Depois de vencer a batalha, este campeao e artefato retorno para a piscina; o substituto sera descartado.
Dwarven Hammer	1st-Ed	094	Magical Item	3	AD&D2	R	(Off) Weapon 	(Off) Arma
Staff of Striking	1st-Ed	095	Magical Item	3	AD&D2	R	The bonus becomes +5 levels if attached to a cleric. (Off) Weapon 	O ba´nus se torna +5 niveis se estiver ligado a um clerigo. (Off) Arma
Horrors of the Abyss	1st-Ed	096	Wizard Spell	5	AD&D2	UC	(Off/4) 	(Off / 4)
Flameblade	1st-Ed	097	Magical Item	2	AD&D2	R	(Off) Sword 	(Off) Espada
Figurine of Wonderous Power	1st-Ed	098	Magical Item	3	AD&D2	C	(Off) 	(Off)
Cataclysm!	1st-Ed	099	Event		AD&D2	UC	Destroys one realm of the player's choice; that realm is discarded. Harmful. 	Destroi um reino da escolha do jogador; esse reino e descartado. Prejudicial.
Good Fortune	1st-Ed	100	Event		AD&D2	UC	The player of this card draws five cards immediately. Helpful. 	O jogador deste cartao desenha cinco cartas imediatamente. Ajuda.
Surprise Raid	1st-Ed	101	Event		AD&D2	C	This player's champion and allies are doubled in levels for one round of battle. Helpful. 	campeao e aliados deste jogador sao o dobro dos niveis para uma rodada de batalha. Ajuda.
Banner of 1-eyed God	1st-Ed	102	Magical Item	1	AD&D2	C	All of this champion's allies gain 1 level. (Def) 	Todos os aliados deste campeao ganha 1 nivel. (Def)
Viperhand	1st-Ed	103	Magical Item		AD&D2	UC	Any champion with the Viperhand can cast wizard spells. (Def) 	Qualquer campeao com o Viperhand pode lançar magias mago. (Def)
Orb of Doom	1st-Ed	104	Magical Item	2	AD&D2	C	(Off) 	(Off)
Staff of Conjuring	1st-Ed	105	Magical Item	5	AD&D2	C	(Off) 	(Off)
Spell of Formless Horror	1st-Ed	106	Wizard Spell	-3	AD&D2	UC	Cast on opposing champion to reduce its level by 3. Spell remains until dispelled. (Off/4) 	Montar opostas campeao para reduzir o seu nivel, 3. restos feitiços ate dissipado. (Off / 4)
Safe Harbor	1st-Ed	107	Event		AD&D2	R	Every player can immediately rebuild one razed realm. Helpful. 	Cada jogador pode imediatamente reconstruir um reino destruido. Ajuda.
Labor of Legend	1st-Ed	108	Event		AD&D2	C	One razed realm is rebuilt by a champion from the player's pool; the champion is discarded. Helpful. 	Um reino arrasada e reconstruida por um campeao da piscina do jogador; o campeao e descartado. Ajuda.
Wand of Light	1st-Ed	109	Magical Item	3	AD&D2	UC	(Off) 	(Off)
Elf Galleon	1st-Ed	110	Ally	3	AD&D2	R		
Free City of Greyhawk	1st-Ed	111	Realm		GH	R	Any champion defending Greyhawk can cast cleric and wizard spells. Coast. 	Qualquer campeao Greyhawk pode lançar clerigo e mago feitiços. Costa.
Lands of Iuz, The	1st-Ed	112	Realm		GH	UC	Any champion defending the Lands of Iuz can cast wizard spells. All defenders gain 3 levels if anyone has Iuz in play. Coast. 	Qualquer campeao defendendo as Terras de Iuz pode lançar magias mago. Todos os defensores ganham 3 niveis se alguem tem Iuz em jogo. Costa.
Pomarj, The	1st-Ed	113	Realm		GH	Realm	A monster defending the Pomarj gains 3 levels. Coast. 	Um monstro defendendo a Pomarj ganha 3 niveis. Costa.
Hold of the Sea Princes	1st-Ed	114	Realm	1	GH	Realm	This realm can defend itself as a level 1 champion. Coast. 	Este reino pode se defender como um campeao de nivel 1. Costa.
Yeomanry	1st-Ed	115	Realm		GH	Realm		
Blackmoor	1st-Ed	116	Realm		GH	UC	All magical items and artifacts defending Blackmoor gain 2 levels. Coast. 	Todos os itens magicos e artefatos defendendo ganho de Blackmoor 2 niveis. Costa.
Horned Society, The	1st-Ed	117	Realm		GH	Realm	Coast. 	Costa.
Wolf Nomads, The	1st-Ed	118	Realm		GH	Realm	Coast. 	Costa.
Sterich	1st-Ed	119	Realm		GH	Realm	Any monster defending Sterich gains 5 levels. 	Qualquer monstro defendendo Sterich ganha 5 niveis.
Nyrond	1st-Ed	120	Realm		GH	Realm		
Veluna	1st-Ed	121	Realm		GH	Realm	Any champion defending Veluna can use cleric spells. 	Qualquer campeao Veluna pode usar magias de clerigo.
Furyondy	1st-Ed	122	Realm		GH	Realm	Coast. 	Costa.
Great Kingdom	1st-Ed	123	Realm		GH	R	No undead can attack the Great Kingdom. The player's maximum hand increases by two. 	Nenhum morto-vivo pode atacar o Grande Reino. mao maxima do jogador aumenta por dois.
Temple of Elemental Evil	1st-Ed	124	Realm		GH	UC	Draw three cards immediately when the temple is played. 	Compre traªs cards imediatamente quando o templo e jogado.
Greyhawk Ruins	1st-Ed	125	Realm		GH	UC	All Greyhawk champions of this player gain 2 levels. 	Todos os campeoes Greyhawk deste jogador ganha 2 niveis.
Perrenland	1st-Ed	126	Realm		GH	Realm	Coast. 	Costa.
Keoland	1st-Ed	127	Realm		GH	Realm		
Celene	1st-Ed	128	Realm		GH	Realm		
Bright Desert, The	1st-Ed	129	Realm		GH	Realm	Cannot be attacked by heroes. Coast. 	nao pode ser atacado por herois. Costa.
Theocracy of the Pale	1st-Ed	130	Realm		GH	Realm		
Bone March	1st-Ed	131	Realm		GH	Realm	Heroes cannot be played in defense of this realm. Coast. 	Os herois nao podem ser reproduzidos em defesa deste reino. Costa.
Duchy of Urnst, The	1st-Ed	132	Realm		GH	Realm		
Sea Barons, The	1st-Ed	133	Realm		GH	Realm	Any holding attached to the Great Kingdom also applies to this realm. Coast. 	Qualquer fortaleza ligada ao Grande Reino tambem se aplica a este reino. Costa.
Bissel	1st-Ed	134	Realm		GH	C	Any champion can use cleric spells while defending Bissel. 	Qualquer campeao pode usar feitiços de clerigo ao defender Bissel.
Scarlet Brotherhood, The	1st-Ed	135	Realm		GH	UC	Player can eliminate one champion from any pool at the start of his turn. This realm is then razed. Coast. 	O jogador pode eliminar um campeao de qualquer associaçao no inicio de seu turno. Este reino e entao arrasada. Costa.
Irongate	1st-Ed	136	Realm		GH	Realm	Any defending hero gains 4 levels. Coast. 	Qualquer heroi defendendo ganha 4 niveis. Costa.
Principality of Ulek	1st-Ed	137	Realm		GH	C	Coast. 	Costa.
County of Sunndi	1st-Ed	138	Realm		GH	C		
Duchy of Tenh	1st-Ed	139	Realm		GH	C		
Burneal Forest	1st-Ed	140	Realm		GH	C	Any champion and allies who attack Burneal Forest lose 2 levels. 	Qualquer campeao e aliados que atacam Burneal Floresta perder 2 niveis.
Castle Hart	1st-Ed	141	Holding		GH	C	Any champion and allies defending Castle Hart gain 2 levels. 	Qualquer campeao e aliados que defendem Castelo Hart ganhar 2 niveis.
Arms of Horned Society	1st-Ed	142	Holding	5	GH	R	The attached realm can defend itself as a level 5 hero. 	O reino unido pode se defender como um heroi nivel 5.
Arms of Iuz	1st-Ed	143	Holding		GH	R	Any champion defending the attached realm can cast cleric spells. 	Qualquer campeao defendendo o reino em anexo pode lançar magias de clerigo.
Arms of Greyhawk	1st-Ed	144	Holding		GH	R	No Greyhawk realms with holdings, of any player, can be attacked by monsters or flyers. 	reinos nao Greyhawk com participaçoes, de qualquer jogador, pode ser atacado por monstros ou panfletos.
Arms of Great Kingdom	1st-Ed	145	Holding		GH	R	All undead allies of this player are doubled in level, whether attacking or defending. 	Todos os aliados mortos-vivos deste leitor sao dobrados em nivel, seja atacando ou defendendo.
Arms of Furyondy	1st-Ed	146	Holding		GH	C	The attached realm is unaffected by all harmful event cards. 	O reino unido nao e afetado por todos os cartoes de eventos prejudiciais.
Arms of Nyrond	1st-Ed	147	Holding		GH	C	Monsters cannot attack the attached realm. 	Monstro nao podem atacar no reino unido.
Skull Keep	1st-Ed	148	Holding	4	GH	C	Any champion defending the attached realm gains 4 levels. 	Qualquer campeao defendendo o reino em anexo ganha 4 niveis.
Fortification	1st-Ed	149	Holding		GH	C	The attached realm and all its defenders are immune to offensive wizard and cleric spells. 	O reino unido e todos os seus defensores sao imunes ao mago e clerigo magias ofensivas.
Siege!	1st-Ed	150	Event		AD&D2	UC	Razes the first realm of every player, regardless of special powers; if a player's first realm is already razed, he ignores this event. Harmful. 	Razes o primeiro reino de cada jogador, independentemente de poderes especiais; se o primeiro reino de um jogador ja esta arrasada, ele ignora este evento. Prejudicial.
War Banner	1st-Ed	151	Magical Item	1	AD&D2	C	Every champion and ally of this player gains 1 level. (Def) 	Cada campeao e aliado deste jogador ganha 1 nivel. (Def)
Codex of the Infinite Planes	1st-Ed	152	Artifact		GH	C	All of this player's champions are immune to offensive magical items and spells. (Def) 	Todos campeoes deste jogador sao imunes a itens magicos ofensivos e feitiços. (Def)
Crystal of the Ebon Flame	1st-Ed	153	Magical Item	6	AD&D2	UC	The champion who holds this crystal must attack on his turn or be discarded. (Off) 	O campeao que ocupa este cristal deve atacar em seu turno ou ser descartado. (Off)
Hordes of Castle Greyhawk	1st-Ed	154	Ally	5	GH	R		
Skeletal Horde	1st-Ed	155	Monster	5	GH	C	Undead.	Morto-vivo.
Eye & Hand of Vecna	1st-Ed	156	Artifact	5/2	GH	UC	The attached champion gains 5 levels when attacking, 2 when defending. 	O campeao em anexo ganha 5 niveis quando atacando, 2 quando defendendo.
Orb of Dragonkind	1st-Ed	157	Artifact	4	GH	UC	This player's Greyhawk realms and their defenders cannot be attacked by dragons or monsters. 	reinos Greyhawk deste jogador e seus defensores nao podem ser atacados por dragoes ou monstros.
Baba Yaga's Hut	1st-Ed	158	Artifact		GH	UC	The attached champion and all its allies are all considered flyers. 	O campeao em anexo e todos os seus aliados sao todos os Voadors considerados.
Chariot of Lyrx	1st-Ed	159	Artifact	3	GH	R	The attached champion gains 3 levels and becomes a flyer; all allies can also fly. 	O campeao em anexo ganha 3 niveis e torna-se um panfleto; todos os aliados tambem pode voar.
Cup of Al-Akbar	1st-Ed	160	Artifact		GH	UC	If the player discards three cards from his hand at the end of his turn, he can return any one card from the discard pile to his hand. 	Se as devoluçoes jogador traªs cartas da sua mao no final de seu turno, ele pode retornar qualquer uma carta da pilha de descarte para sua mao.
Rary the Traitor	1st-Ed	161	Wizard	4	GH	C	Rary gains 3 levels when fighting a wizard and/or 3 levels when defending a realm with an attached holding. 	ganhos Rary 3 niveis quando lutam um mago e / ou de 3 niveis, quando defendem uma esfera com uma exploraçao em anexo.
Mordenkainen	1st-Ed	162	Wizard	7	GH	R		
Tysiln San	1st-Ed	163	Wizard	5	GH	UC	Elf. 	Duende.
Otto	1st-Ed	164	Wizard	6	GH	R	Otto can cast both wizard and cleric spells. 	Otto pode lançar tanto mago e feitiços de clerigo.
Mika the Wolf Nomad	1st-Ed	165	Wizard	7	GH	R	Mika gains 3 levels when the opponent uses allies against him. 	Mika ganha 3 niveis quando o adversario usa aliados contra ele.
Lolth, the Spider Queen	1st-Ed	166	Monster	9	GH	R	Lolth can cast both wizard and cleric spells. If Lolth is defeated, shuffle her back into the draw deck. Elf(drow) 	Lolth pode lançar tanto mago e feitiços de clerigo. Se Lolth e derrotado, embaralhe-la de volta no deck de empate. Elf (drow)
Iuz the Evil	1st-Ed	167	Monster	8	GH	UC	Iuz can cast wizard spells. If defeated, Iuz forces one razed enemy realm to be discarded, or razes one realm. 	Iuz pode lançar magias mago. Se derrotado, as forças de Iuz um reino inimigo arrasou a ser descartado, ou arrasa um reino.
Mutiny!	1st-Ed	168	Event		AD&D	R	No battles can be fought until the player's next turn. A battle in progress stops immediately with no victor; allies are discarded. Harmful. 	Nenhuma batalha pode ser travada ate o proximo turno do jogador. Uma batalha em andamento para imediatamente com nenhum vencedor; aliados sao descartados. Prejudicial.
Swordwraith	1st-Ed	169	Ally	4	AD&D2	R	Undead. 	Morto-vivo.
Sysania	1st-Ed	170	Cleric	4	GH	UC	Flyer. 	Voador.
Kiara	1st-Ed	171	Hero	2	GH	UC	Kiara can destroy one magical item being used against her. The affected item is discarded. Halfling. 	Kiara pode destruir um item magico sendo usado contra ela. O item afetado e descartado. Halfling.
Hettman Tsurin	1st-Ed	172	Hero	2	GH	R	If Hettman does not attack, at the end of his turn the player can randomly draw one card from another player's hand and discard it. 	Se Hettman nao ataca, no final do seu turno, o jogador pode aleatoriamente tira uma carta de mao de outro jogador e descarta-lo.
Griffon	1st-Ed	173	Magical Item	2	AD&D2	R	The attached champion becomes a flyer. (Def) 	O campeao anexado torna-se um flyer. (Def)
Sea Zombie	1st-Ed	174	Ally	4	AD&D2	R	Undead. 	Morto-vivo.
Mist Wolf	1st-Ed	175	Event		AD&D2	R	No allies can be played until this player's next turn. Allies in play are discarded immediately. 	Sem aliados pode ser jogado ate o proximo turno deste jogador. Aliados em jogo sao descartados imediatamente.
Tyrinon	1st-Ed	176	Hero	5	GH	UC	Flyer. 	Voador.
Quagmiela the Dragon	1st-Ed	177	Monster	5	GH	UC	Flyer. Dragon. 	Voador. Dragao.
Seragrimm the Just	1st-Ed	178	Hero	5	GH	R	Undead. Seragrimm can only defend, but never attack. 	Morto-vivo. Seragrimm so pode defender, mas nunca atacar.
Skulk	1st-Ed	179	Ally	1	AD&D2	R	This player can now play allies face down; their value is not revealed until both players pass and the winner is determined. 	Este jogador pode agora jogar aliados face para baixo; o seu valor nao e revelado ate que ambos os jogadores passam eo vencedor e determinado.
Berserk Fury!	1st-Ed	180	Event		AD&D2	R	All heroes gain 5 levels until the current player's next turn. Helpful. 	Todos os herois ganha 5 niveis ate o proximo turno do jogador atual. Ajuda.
Wolf Nomads	1st-Ed	181	Hero	4	GH	C	The nomads gain 2 levels if Mika is in the player's pool. 	Os na´mades ganhar 2 niveis se Mika e na piscina do jogador.
Zadoc	1st-Ed	182	Ally	2	AD&D2	R		
Miles	1st-Ed	183	Ally	2	AD&D2	UC		
